"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
"Sema6a",0,0.477328572478423,0.408,0.088,0,"1","Sema6a"
"Meis2",0,0.474926881716685,0.367,0.08,0,"1","Meis2"
"Nfib",0,0.47454506073163,0.607,0.292,0,"1","Nfib"
"Prkch",0,0.473268880258759,0.419,0.116,0,"1","Prkch"
"Tspan13",0,0.473235378562755,0.43,0.116,0,"1","Tspan13"
"Pcdh17",0,0.470918712675809,0.338,0.062,0,"1","Pcdh17"
"Mcc",0,0.468633483386503,0.405,0.129,0,"1","Mcc"
"H2-D1.1",0,0.467505666626584,0.472,0.305,0,"1","H2-D1"
"Ptprk",0,0.466067574286773,0.459,0.203,0,"1","Ptprk"
"Klf4",0,0.459523705075205,0.304,0.087,0,"1","Klf4"
"Fendrr",0,0.451044857048783,0.361,0.068,0,"1","Fendrr"
"Fkbp1a",0,0.450608369263811,0.391,0.112,0,"1","Fkbp1a"
"St6galnac3",0,0.440002695856166,0.379,0.103,0,"1","St6galnac3"
"Ifitm3.1",0,0.439113465547119,0.473,0.235,0,"1","Ifitm3"
"Klhl5",0,0.437123648844036,0.396,0.084,0,"1","Klhl5"
"Tspan9",0,0.435528310882334,0.401,0.09,0,"1","Tspan9"
"Ly6e",0,0.429984327298936,0.508,0.319,0,"1","Ly6e"
"Slc9a3r2",0,0.428962936295602,0.331,0.069,0,"1","Slc9a3r2"
"Id1",0,0.425803134250615,0.226,0.041,0,"1","Id1"
"Arhgef12",0,0.425261637075982,0.46,0.166,0,"1","Arhgef12"
"Cadm1",0,0.423172226910285,0.438,0.188,0,"1","Cadm1"
"Numb",0,0.417418921222563,0.371,0.108,0,"1","Numb"
"Icam2",0,0.41479816605777,0.279,0.05,0,"1","Icam2"
"Syne1",0,0.413854674734636,0.418,0.151,0,"1","Syne1"
"Crip2",0,0.412779805072739,0.363,0.144,0,"1","Crip2"
"Prkce",0,0.40864438666439,0.399,0.127,0,"1","Prkce"
"Fmo1",0,0.40815799609394,0.368,0.079,0,"1","Fmo1"
"Rhoj",0,0.406842794195919,0.328,0.064,0,"1","Rhoj"
"Cav2",0,0.40304073070544,0.308,0.062,0,"1","Cav2"
"Afap1l1",0,0.39942125054817,0.354,0.065,0,"1","Afap1l1"
"Hilpda",0,0.397656005319661,0.208,0.029,0,"1","Hilpda"
"Efnb2",0,0.396453983857545,0.287,0.049,0,"1","Efnb2"
"Adgrl2",0,0.393115296977157,0.347,0.093,0,"1","Adgrl2"
"S100a16",0,0.392460462737611,0.304,0.052,0,"1","S100a16"
"Cd200",0,0.390429274796219,0.312,0.071,0,"1","Cd200"
"BC028528",0,0.388601916143281,0.272,0.026,0,"1","BC028528"
"H2-K1",0,0.388519612648744,0.575,0.389,0,"1","H2-K1"
"Prex2",0,0.386154027238541,0.47,0.168,0,"1","Prex2"
"Esam",0,0.385982391957372,0.295,0.053,0,"1","Esam"
"Klf7",0,0.38546948747165,0.391,0.11,0,"1","Klf7"
"Id3",0,0.382714506350254,0.313,0.082,0,"1","Id3"
"Ece1",0,0.377247679057893,0.334,0.07,0,"1","Ece1"
"Podxl",0,0.376279983644288,0.331,0.071,0,"1","Podxl"
"Itga6",0,0.375971098777063,0.303,0.061,0,"1","Itga6"
"Tspan18",0,0.375379629945194,0.306,0.048,0,"1","Tspan18"
"Gnaq",0,0.371121720202726,0.471,0.22,0,"1","Gnaq"
"Shank3",0,0.370362978364222,0.29,0.04,0,"1","Shank3"
"Crim1",0,0.368369885885453,0.368,0.132,0,"1","Crim1"
"Cyth3",0,0.363963622875644,0.342,0.086,0,"1","Cyth3"
"Slc43a3",0,0.363714600197012,0.326,0.067,0,"1","Slc43a3"
"S1pr1",0,0.36260239362502,0.292,0.064,0,"1","S1pr1"
"Myo10",0,0.358419118799924,0.312,0.074,0,"1","Myo10"
"Smarca2",0,0.354413697687164,0.374,0.14,0,"1","Smarca2"
"Plpp1",0,0.352893836086979,0.274,0.06,0,"1","Plpp1"
"Gm30382",0,0.352806264774499,0.205,0.05,0,"1","Gm30382"
"Rasip1",0,0.350291565788579,0.295,0.047,0,"1","Rasip1"
"Elk3",0,0.3475171319728,0.325,0.067,0,"1","Elk3"
"4931406P16Rik",0,0.347265633198592,0.323,0.07,0,"1","4931406P16Rik"
"Phlpp1",0,0.346316103948705,0.33,0.113,0,"1","Phlpp1"
"Rasgrp3",0,0.345751119163211,0.297,0.055,0,"1","Rasgrp3"
"Ier3",0,0.345703585307094,0.288,0.108,0,"1","Ier3"
"Cadps2",0,0.343042964151995,0.327,0.093,0,"1","Cadps2"
"Luzp1",0,0.342827547759925,0.314,0.089,0,"1","Luzp1"
"Ecscr",0,0.341259083462517,0.25,0.03,0,"1","Ecscr"
"Cxcl12",0,0.339792802170546,0.181,0.031,0,"1","Cxcl12"
