"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
"MGP.14",3.13356792400906e-57,-0.595407626081614,0.021,0.107,1.13410090305736e-52,"16","MGP"
"GSN.9",4.45608299549882e-57,-0.326850328043281,0.236,0.361,1.61274555773093e-52,"16","GSN"
"EFHC1.13",6.54492209309723e-57,-0.256092530072333,0.059,0.158,2.36873820393375e-52,"16","EFHC1"
"C11orf88.15",3.42909309583144e-56,-0.431003503375319,0.069,0.166,1.24105737324331e-51,"16","C11orf88"
"EEF2.8",3.29684989952692e-55,0.267331751050158,0.642,0.56,1.19319591563678e-50,"16","EEF2"
"BST2.9",1.39254689134173e-54,-0.262814290755872,0.128,0.24,5.03990570914397e-50,"16","BST2"
"STXBP2.11",3.12221618277843e-54,-0.262093589524962,0.063,0.16,1.12999248087117e-49,"16","STXBP2"
"S100A9.13",1.77758896202295e-53,-0.874916865473508,0.168,0.278,6.43344997135344e-49,"16","S100A9"
"MT2A.15",2.75089955133691e-53,-1.01576136707211,0.388,0.483,9.95605565619853e-49,"16","MT2A"
"CAPG.13",7.53959861183804e-53,-0.346904324199321,0.105,0.204,2.72873152959642e-48,"16","CAPG"
"MT1M.16",3.78797361236715e-52,-0.641813299887223,0.03,0.112,1.37094340978792e-47,"16","MT1M"
"TMEM190.15",2.17692939470194e-51,-0.748532684755961,0.076,0.168,7.87874286530527e-47,"16","TMEM190"
"MS4A8.14",1.3215610739396e-50,-0.282031001714195,0.058,0.147,4.78299383880219e-46,"16","MS4A8"
"LRRIQ1.15",2.19324897771111e-50,-0.312402275772456,0.072,0.164,7.93780670013205e-46,"16","LRRIQ1"
"HSPH1.10",9.2619565845405e-50,-0.281763208497182,0.156,0.267,3.3520873270769e-45,"16","HSPH1"
"DNAAF1.16",9.28284617507078e-49,-0.335435589642734,0.08,0.172,3.35964768768162e-44,"16","DNAAF1"
"CYR61.9",1.19103371090647e-47,-0.284543923772521,0.035,0.116,4.31058920651268e-43,"16","CYR61"
"PIGR.12",3.25731461625892e-47,-0.415102353575872,0.214,0.315,1.17888730591643e-42,"16","PIGR"
"CCDC78.15",4.73257690816634e-46,-0.268662971588416,0.056,0.139,1.71281423460356e-41,"16","CCDC78"
"OMG.15",6.7661534065743e-45,-0.384671154926679,0.05,0.13,2.44880624090737e-40,"16","OMG"
"HNRNPA1.10",5.18309949591234e-44,0.266761649639055,0.616,0.556,1.87586736956059e-39,"16","HNRNPA1"
"MT-ND4L.14",6.72742143006651e-44,-0.847251004591668,0.356,0.419,2.43478836396967e-39,"16","MT-ND4L"
"SLC9A3R2.13",8.86030696129437e-43,-0.320031650567907,0.098,0.186,3.20672229543166e-38,"16","SLC9A3R2"
"S100A11.12",1.46154642807114e-39,-0.546351991956938,0.688,0.698,5.28962883247507e-35,"16","S100A11"
"MT-ND3.12",2.64462162708102e-39,-0.686294772861783,0.633,0.627,9.57141459273162e-35,"16","MT-ND3"
"PSCA.14",7.03654979277599e-39,-0.355998238473657,0.067,0.142,2.54666810100149e-34,"16","PSCA"
"IFNGR1.10",7.0096611426051e-35,-0.250574464103914,0.141,0.224,2.53693656073164e-30,"16","IFNGR1"
"LMNA.9",6.33681853296359e-34,-0.253664136413765,0.286,0.383,2.29342136345018e-29,"16","LMNA"
"CCDC146.15",9.03383549253101e-34,-0.25000574104514,0.09,0.164,3.26952574145682e-29,"16","CCDC146"
"CALM1.15",5.18610907594743e-33,-0.302684090886029,0.578,0.653,1.87695659676689e-28,"16","CALM1"
"CFD.14",1.52620277045413e-32,-0.293821727846096,0.083,0.155,5.52363306682758e-28,"16","CFD"
"MSMB.15",6.76350204772791e-32,-0.779154755358725,0.221,0.141,2.44784666111368e-27,"16","MSMB"
"TIMP3.15",2.06878952596171e-31,-0.734437560867654,0.105,0.17,7.48736305236062e-27,"16","TIMP3"
"EMP2.11",3.04013975347939e-30,-0.443921456713862,0.218,0.298,1.10028737957926e-25,"16","EMP2"
"EDN1.13",2.28310097296233e-28,-0.354318849175549,0.055,0.115,8.26299904134526e-24,"16","EDN1"
"GPX1.11",1.2698247995571e-26,-0.305145343521594,0.37,0.431,4.59574991455704e-22,"16","GPX1"
"CD24.12",2.08763670673315e-26,-0.329255376457387,0.167,0.233,7.55557476900862e-22,"16","CD24"
